,ReportDate,Allegany,AnneArundel,Baltimore,BaltimoreCity,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Fredrick,Garrett,Harford,Howard,Kent,Montgomery,PrinceGeorges,QueenAnnes,Somerset,StMarys,Talbot,Washington,Wicomico,Worcester,AlleganyDailyCases,AlleganyDailyCases7Day,AlleganyDaily100K,AlleganyDailyCases100k7D,AADailyCases,AA7Day,AADaily100k3,AA100k7D-2020Census,BaltimoreDailyCases,Baltimore7Day,BaltimoreDaily100k,Baltimore7D100k,BaltCityDailyCases,BaltCity7Day,BaltCityeDaily100k,BaltCity7D100k,CalvertDailyCase,Calvert7Day,CalverteDaily100k,Calvert7D100k,CarolineDailyCases,Caroline7Day,CarolineDaily100k,Caroline7D100k,CarrollDaily,Carroll7Day,CarrollDaily100k,Carroll7D100k,CecilDaily,Cecil7Day,CecilDaily100k,Cecil7D100k,CharlesDaily,Charles7Day,CharlesDaily100K,Charles7D100k,DorchesterDaily,Dorchester7Day,DorchesterDaily100K,Dorchester7D100k,FrederickDaily,Frederick7Day,FrederrickDaily100K,Frederick7D100k,GarrettDaily,Garrett7Day,GarrettDaily100k,Garrett7D100k,HarfordDaily,Harford7Day,HarfordDaily100k,Harford7D100k,HowardDaily,Howard7Day,HowardDaily100k,Howard7D100k,KentDaily,Kent7Day,KentDaily100k,Kent7D100k,MontgomeryDaily,Montgomery7Day,MontgomeryDaily100k,Montgomery7D100k,PGDaily,PG7Day,PGDaily100k,PG7D100k,QADaily,QA7Day,QADaily100k,QA7D100k,StMarysDaily,StMarys7Day,StMarysDaily100k,StMarys7D100k,SomersetDaily,Somerset7Day,SomersetDaily100k,Somerset7D100k,TalbotDaily,Talbot7Day,TalbotDaily100k,Talbot7D100k,WashingtonDaily,Washington7Day,WashingtonDaily100k,Washington7D100k,WicomicoDaily,Wicomico7Day,WicomicoDaily100k,Wicomico7D100k,WorcesterDaily,Worcester7Day,WorcesterDaily100k,Worcester7D100k,Western,southern,central,capital,Eastern,I95,WesternDaily,Western7Day,WesternDaily100k,Western7D100k,SouthernDaily,Southern7Day,SouthernDaily100k,Southern7D100k,CentralDaily,Central7Day,CentralDaily100k,Central7D100k,CapitalDaily,Capital7Day,CapitalDaily100k,Capital7D100k,EasternDaily,Eastern7Day,EasternDaily100k,Eastern7D100k,I95Daily,I957Day,I95Daily100k,I957D100k
10,2020-03-14 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2020-03-15 14:00:00,,2.0,3.0,1.0,,,1.0,,1.0,,,,2.0,,,12.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2020-03-16 14:00:00,,1.0,4.0,1.0,,,1.0,,1.0,,,,2.0,1.0,,10.0,15.0,,,,1.0,,,,,,,,-1.0,,-0.1699925713246331,,1.0,,0.11702270825653718,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,-2.0,,-0.18831310065994325,,6.0,,0.6203467531567894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2020-03-17 14:00:00,,3.0,6.0,1.0,,,1.0,,1.0,,1.0,,2.0,3.0,,24.0,14.0,,,,1.0,,,,,,,,2.0,,0.3399851426492662,,2.0,,0.23404541651307437,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,2.0,,0.6018349948994485,,,,,,14.0,,1.3181917046196028,,-1.0,,-0.10339112552613158,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,16.0,39.0,,,,,,,,,,,6.0,,0.2375476530489835,,,,,,,,,,,,,
14,2020-03-18 14:00:00,,4.0,10.0,4.0,,,1.0,,2.0,,1.0,,3.0,8.0,,31.0,20.0,,,,1.0,,,,,,,,1.0,,0.1699925713246331,,4.0,,0.46809083302614873,,3.0,,0.5122006187383474,,,,,,,,,,0.0,,0.0,,,,,,1.0,,0.6001788532982829,,,,,,0.0,,0.0,,,,,,1.0,,0.3832533611319771,,5.0,,1.5045874872486211,,,,,,7.0,,0.6590958523098014,,6.0,,0.6203467531567894,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,30.0,52.0,,,,,,,,,,,14.0,,0.5542778571142949,,13.0,,0.5649769076553937,,,,,,,,,
15,2020-03-19 14:00:00,,5.0,12.0,8.0,1.0,,2.0,,2.0,,1.0,,3.0,16.0,,33.0,23.0,,,,1.0,,,,,,,,1.0,,0.1699925713246331,,2.0,,0.23404541651307437,,4.0,,0.6829341583177966,,,,,,,,,,1.0,,0.5783991069517789,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,8.0,,2.407339979597794,,,,,,2.0,,0.18831310065994325,,3.0,,0.3101733765783947,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,46.0,57.0,,,,,,,,,,,16.0,,0.6334604081306228,,5.0,,0.21729881063668988,,,,,,,,,
16,2020-03-20 14:00:00,,10.0,13.0,11.0,1.0,,3.0,,2.0,,1.0,,5.0,18.0,,51.0,31.0,,,,1.0,,1.0,1.0,,,,,5.0,,0.8499628566231656,,1.0,,0.11702270825653718,,3.0,,0.5122006187383474,,0.0,,0.0,,,,,,1.0,,0.5783991069517789,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,2.0,,0.7665067222639542,,2.0,,0.6018349948994485,,,,,,18.0,,1.6948179059394892,,8.0,,0.8271290042090527,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,60.0,83.0,,,,,,,,,,,14.0,,0.5542778571142949,,26.0,,1.1299538153107873,,,,,,,,,
17,2020-03-21 14:00:00,,15.0,19.0,15.0,1.0,,3.0,,4.0,,1.0,,5.0,19.0,,68.0,36.0,,,,1.0,,2.0,1.0,,,,,5.0,,0.8499628566231656,,6.0,,0.702136249539223,,4.0,,0.6829341583177966,,0.0,,0.0,,,,,,0.0,,0.0,,,,,,2.0,,1.2003577065965658,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,1.0,,0.30091749744972424,,,,,,17.0,,1.6006613556095177,,5.0,,0.5169556276306579,,,,,,,,,,,,,,0.0,,0.0,,,,,,1.0,,0.965362783333977,,0.0,,0.0,,,,76.0,105.0,,,,,,,,,,,16.0,,0.6334604081306228,,22.0,,0.9561147668014354,,,,,,,,,
18,2020-03-22 14:00:00,,18.0,28.0,24.0,2.0,1.0,4.0,1.0,4.0,,1.0,,5.0,24.0,,83.0,40.0,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,3.0,2.2857142857142856,0.5099777139738993,0.3885544487420186,9.0,3.5714285714285716,1.0532043743088346,0.4179382437733471,9.0,3.2857142857142856,1.5366018562150425,0.5609816300467615,1.0,,1.07778364571096,,,,,,1.0,0.42857142857142855,0.5783991069517789,0.24788533155076237,,,,,0.0,0.42857142857142855,0.0,0.25721950855640696,,,,,0.0,,0.0,,,,,,0.0,0.42857142857142855,0.0,0.16425144048513302,5.0,,1.5045874872486211,,,,,,15.0,10.142857142857142,1.4123482549495745,,4.0,4.428571428571429,0.41356450210452633,0.4578749844728684,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,1.0,,1.9062142584826536,,,7.0,103.0,124.0,,122.0,,,,,,,,,27.0,,1.0689644387204258,,19.0,,0.8257354804194215,,,,,,,,,
19,2020-03-23 14:00:00,,20.0,35.0,31.0,2.0,1.0,5.0,1.0,5.0,,2.0,3.0,5.0,26.0,,93.0,47.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,,,,,2.0,2.7142857142857144,0.3399851426492662,0.46140840788114706,7.0,4.428571428571429,0.8191589577957603,0.5182434222789504,7.0,4.285714285714286,1.195134777056144,0.7317151696262106,0.0,,0.0,,0.0,,0.0,,1.0,0.5714285714285714,0.5783991069517789,0.3305137754010165,0.0,,0.0,,1.0,0.5714285714285714,0.6001788532982829,0.34295934474187595,,,,,1.0,,0.3680299723609491,,,,,,0.0,0.42857142857142855,0.0,0.16425144048513302,2.0,3.5714285714285716,0.6018349948994485,1.0747053480347293,,,,,10.0,11.857142857142858,0.9415655032997163,1.0747053480347293,7.0,4.571428571428571,0.7237378786829212,0.4726451452623158,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1.0,,0.6463915193432662,,2.0,,1.930725566667954,,0.0,,0.0,,,8.0,122.0,142.0,,145.0,,,,,1.0,,0.35208788113513134,,19.0,16.0,0.7522342346551145,0.6334604081306228,18.0,,0.7822757182920835,,,,,,23.0,,0.7408815201600304,
20,2020-03-24 14:00:00,,24.0,42.0,41.0,3.0,1.0,5.0,3.0,5.0,,4.0,3.0,5.0,30.0,,107.0,63.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,,,,,4.0,3.0,0.6799702852985324,0.5099777139738993,7.0,5.142857142857143,0.8191589577957603,0.6018310710336198,10.0,5.714285714285714,1.7073353957944915,0.9756202261682808,1.0,,1.07778364571096,,0.0,,0.0,,0.0,0.5714285714285714,0.0,0.3305137754010165,2.0,,1.928175463967221,,0.0,0.5714285714285714,0.0,0.34295934474187595,,,,,2.0,0.42857142857142855,0.7360599447218982,0.15772713101183533,0.0,,0.0,,0.0,0.42857142857142855,0.0,0.16425144048513302,4.0,3.857142857142857,1.203669989798897,1.1606817758775079,,,,,14.0,11.857142857142858,1.3181917046196028,1.1606817758775079,16.0,7.0,1.6542580084181053,0.723737878682921,0.0,,0.0,,1.0,,0.878912258189265,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,9.0,147.0,174.0,,184.0,,,,,1.0,,0.35208788113513134,,25.0,18.714285714285715,0.9897818877040979,0.7409224416527819,32.0,19.285714285714285,1.3907123880748151,0.8381525553129466,,,,,39.0,,1.2562773602713557,
21,2020-03-25 14:00:00,,31.0,51.0,53.0,3.0,1.0,5.0,4.0,8.0,,7.0,3.0,5.0,35.0,1.0,127.0,76.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,,,,,7.0,3.857142857142857,1.1899479992724318,0.6556856322521564,9.0,5.857142857142857,1.0532043743088346,0.6854187197882892,12.0,7.0,2.0488024749533897,1.1951347770561438,0.0,,0.0,,0.0,,0.0,,0.0,0.5714285714285714,0.0,0.3305137754010165,1.0,,0.9640877319836105,,3.0,0.8571428571428571,1.8005365598948486,0.5144390171128139,,,,,3.0,0.8571428571428571,1.104089917082847,0.3154542620236706,0.0,,0.0,,0.0,0.2857142857142857,0.0,0.10950096032342203,5.0,3.857142857142857,1.5045874872486211,1.1606817758775079,,,,,20.0,13.714285714285714,1.8831310065994327,1.1606817758775079,13.0,8.0,1.3440846318397108,0.8271290042090528,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,12.0,180.0,210.0,,224.0,,,,,3.0,,1.056263643405394,,33.0,21.428571428571427,1.3065120917694093,0.8483844751749412,36.0,22.571428571428573,1.564551436584167,0.9809489165884857,,,,,40.0,,1.2884896002783137,
22,2020-03-26 14:00:00,,41.0,81.0,72.0,7.0,1.0,7.0,4.0,10.0,,14.0,3.0,9.0,49.0,1.0,164.0,101.0,1.0,1.0,4.0,1.0,2.0,5.0,2.0,,,,,10.0,5.142857142857143,1.6999257132463312,0.8742475096695417,30.0,9.857142857142858,3.5106812476961156,1.153509552814438,19.0,9.142857142857142,3.2439372520095335,1.5609923618692494,4.0,0.8571428571428571,4.31113458284384,0.9238145534665371,0.0,,0.0,,2.0,0.7142857142857143,1.1567982139035577,0.41314221925127065,0.0,,0.0,,2.0,1.1428571428571428,1.2003577065965658,0.6859186894837519,,,,,7.0,1.8571428571428572,2.5762098065266437,0.6834842343846198,0.0,,0.0,,4.0,0.8571428571428571,1.5330134445279084,0.32850288097026603,14.0,4.714285714285714,4.2128449642961385,1.4186110594058425,0.0,,0.0,,37.0,18.714285714285715,3.48379236220895,1.4186110594058425,25.0,11.142857142857142,2.5847781381532897,1.1520725415768946,0.0,,0.0,,2.0,,1.75782451637853,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,0.965362783333977,,0.0,,0.0,,,18.0,259.0,279.0,,316.0,,,,,6.0,,2.112527286810788,,79.0,30.428571428571427,3.1277107651449496,1.2047059547484165,69.0,31.714285714285715,2.99872358678632,1.3782953131812898,,,,,92.0,,2.9635260806401216,
23,2020-03-27 14:00:00,,63.0,103.0,88.0,9.0,1.0,9.0,9.0,17.0,,15.0,3.0,18.0,62.0,2.0,208.0,148.0,1.0,1.0,4.0,1.0,5.0,5.0,2.0,,,,,22.0,7.571428571428571,3.7398365691419286,1.2870866114579367,22.0,12.857142857142858,2.574499581643818,1.5045776775840494,16.0,11.0,2.7317366332711863,1.8780689353739406,2.0,1.1428571428571428,2.15556729142192,1.2317527379553828,0.0,,0.0,,2.0,0.8571428571428571,1.1567982139035577,0.4957706631015247,5.0,,4.820438659918053,,7.0,2.142857142857143,4.20125197308798,1.2860975427820347,,,,,1.0,2.0,0.3680299723609491,0.7360599447218982,0.0,,0.0,,9.0,1.8571428571428572,3.449280250187794,0.7117562421022432,13.0,6.285714285714286,3.9119274668464152,1.8914814125411237,1.0,,5.2088759245754765,,44.0,22.428571428571427,4.142888214518751,1.8914814125411237,47.0,16.714285714285715,4.8593828997281845,1.7281088123653423,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3.0,,1.9391745580297985,,0.0,0.5714285714285714,0.0,0.551635876190844,0.0,0.14285714285714285,0.0,0.2723163226403791,,27.0,343.0,371.0,,428.0,,,,,9.0,,3.1687909302161823,,84.0,40.42857142857143,3.325667142685769,1.6006187098300555,92.0,41.142857142857146,3.998298115715093,1.7880587846676195,,,,,112.0,,3.6077708807792788,
24,2020-03-28 14:00:00,,88.0,141.0,112.0,8.0,1.0,10.0,13.0,21.0,,22.0,3.0,21.0,73.0,2.0,255.0,196.0,1.0,1.0,8.0,2.0,6.0,6.0,2.0,,,,,25.0,10.428571428571429,4.249814283115827,1.7727796723854596,38.0,17.428571428571427,4.446862913748413,2.0395386296139337,24.0,13.857142857142858,4.0976049499067795,2.365879048458081,-1.0,1.0,-1.07778364571096,1.07778364571096,0.0,,0.0,,1.0,1.0,0.5783991069517789,0.5783991069517789,4.0,,3.856350927934442,,4.0,2.4285714285714284,2.4007154131931316,1.4575772151529727,,,,,7.0,3.0,2.5762098065266437,1.1040899170828473,0.0,,0.0,,3.0,2.2857142857142856,1.1497600833959314,0.8760076825873763,11.0,7.714285714285714,3.3100924719469664,2.3213635517550157,0.0,,0.0,,47.0,26.714285714285715,4.4253578655086665,2.3213635517550157,48.0,22.857142857142858,4.9627740252543155,2.3632257263115792,0.0,,0.0,,4.0,,3.51564903275706,,0.0,,0.0,,1.0,0.14285714285714285,2.664819058785908,0.38068843696941546,1.0,,0.6463915193432662,,1.0,0.5714285714285714,0.965362783333977,0.551635876190844,0.0,0.14285714285714285,0.0,0.2723163226403791,,30.0,445.0,473.0,,556.0,,,,,3.0,,1.056263643405394,,102.0,52.714285714285715,4.03831010183272,2.0870258089303553,102.0,52.57142857142857,4.432895736988473,2.2847417804086247,,,,,128.0,,4.123166720890604,
25,2020-03-29 14:00:00,,99.0,162.0,129.0,10.0,3.0,82.0,13.0,28.0,,24.0,3.0,23.0,81.0,3.0,301.0,247.0,4.0,1.0,8.0,3.0,6.0,6.0,2.0,,,,,11.0,11.571428571428571,1.8699182845709643,1.967056896756469,21.0,19.142857142857142,2.457476873387281,2.2401489866251403,17.0,15.0,2.9024701728506357,2.5610030936917374,2.0,1.1428571428571428,2.15556729142192,1.2317527379553828,2.0,0.2857142857142857,6.0072687952422426,0.8581812564631776,72.0,11.142857142857142,41.64473570052808,6.445018620319822,0.0,1.7142857142857142,0.0,1.652721826257618,7.0,3.4285714285714284,4.20125197308798,2.0577560684512557,,,,,2.0,3.2857142857142856,0.7360599447218982,1.2092413377574043,0.0,,0.0,,2.0,2.5714285714285716,0.7665067222639542,0.9855086429107983,8.0,8.142857142857142,2.407339979597794,2.450328193519183,1.0,,5.2088759245754765,,46.0,31.142857142857142,4.331201315178696,2.450328193519183,51.0,29.571428571428573,5.2729474018327105,3.057423283415605,3.0,,6.015158198660624,,0.0,1.0,0.0,0.878912258189265,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,2.664819058785908,0.7613768739388309,0.0,0.7142857142857143,0.0,0.461708228102333,0.0,0.5714285714285714,0.0,0.551635876190844,0.0,0.0,0.0,0.0,,39.0,576.0,572.0,,655.0,,,,,9.0,4.571428571428571,3.1687909302161823,1.609544599474886,131.0,67.57142857142857,5.186457091569474,2.6752390450516477,99.0,64.0,4.3025164506064595,2.7814247761496302,,,,,99.0,76.14285714285714,3.1890117606888264,2.452731989101219
26,2020-03-30 14:00:00,,110.0,186.0,152.0,12.0,4.0,82.0,13.0,33.0,,26.0,3.0,24.0,96.0,3.0,341.0,294.0,4.0,1.0,9.0,4.0,7.0,6.0,3.0,,,,,11.0,12.857142857142858,1.8699182845709643,2.185618774173854,24.0,21.571428571428573,2.808544998156892,2.5243469923910165,23.0,17.285714285714285,3.9268714103273306,2.9512511841590494,2.0,1.4285714285714286,2.15556729142192,1.5396909224442283,1.0,0.42857142857142855,3.0036343976211213,1.2872718846947662,0.0,11.0,0.0,6.362390176469568,0.0,1.7142857142857142,0.0,1.652721826257618,5.0,4.0,3.0008942664914144,2.4007154131931316,,,,,2.0,3.4285714285714284,0.7360599447218982,1.2618170480946826,0.0,0.0,0.0,0.0,1.0,2.7142857142857144,0.3832533611319771,1.0402591230725091,15.0,10.0,4.513762461745863,3.0091749744972422,0.0,,0.0,,40.0,35.42857142857143,3.7662620131988653,3.0091749744972422,47.0,35.285714285714285,4.8593828997281845,3.6482297149935006,0.0,0.42857142857142855,0.0,0.8593083140943749,1.0,1.1428571428571428,0.878912258189265,1.0044711522163028,0.0,0.0,0.0,0.0,1.0,0.42857142857142855,2.664819058785908,1.1420653109082464,1.0,0.7142857142857143,0.6463915193432662,0.461708228102333,0.0,0.2857142857142857,0.0,0.27581793809542204,1.0,0.14285714285714285,1.9062142584826536,0.2723163226403791,,46.0,650.0,661.0,,765.0,,,,,7.0,5.428571428571429,2.464615167945919,1.9113342118764272,74.0,75.42857142857143,2.92975438760413,2.9863133526157926,89.0,74.14285714285714,3.8679188293330795,3.222230934869772,,,,,110.0,88.57142857142857,3.543346400765363,2.8530841149019808
27,2020-03-31 14:00:00,,127.0,227.0,187.0,15.0,4.0,92.0,14.0,40.0,,33.0,3.0,25.0,117.0,3.0,388.0,341.0,4.0,1.0,15.0,3.0,11.0,7.0,3.0,,,,,17.0,14.714285714285714,2.8898737125187632,2.501319263776744,41.0,26.428571428571427,4.7979310385180245,3.092743003922768,35.0,20.857142857142858,5.97567388528072,3.5610138255142254,3.0,1.7142857142857142,3.23335093713288,1.847629106933074,0.0,0.42857142857142855,0.0,1.2872718846947662,10.0,12.428571428571429,5.783991069517788,7.1886746149721095,1.0,1.5714285714285714,0.9640877319836105,1.5149950074028165,7.0,5.0,4.20125197308798,3.0008942664914144,,,,,7.0,4.142857142857143,2.5762098065266437,1.5246955997810747,0.0,0.0,0.0,0.0,1.0,2.857142857142857,0.3832533611319771,1.0950096032342203,21.0,12.428571428571429,6.319267446444209,3.739974611160858,0.0,,0.0,,47.0,40.142857142857146,4.4253578655086665,3.739974611160858,47.0,39.714285714285715,4.8593828997281845,4.106104699466369,0.0,0.42857142857142855,0.0,0.8593083140943749,6.0,1.8571428571428572,5.2734735491355895,1.632265622351492,0.0,0.0,0.0,0.0,-1.0,0.2857142857142857,-2.664819058785908,0.7613768739388309,4.0,1.2857142857142858,2.585566077373065,0.8310748105841993,1.0,0.42857142857142855,0.965362783333977,0.41372690714313304,0.0,0.14285714285714285,0.0,0.2723163226403791,,56.0,775.0,762.0,,911.0,,,,,10.0,6.714285714285714,3.5208788113513134,2.364018630478739,125.0,89.71428571428571,4.94890943852049,3.55190300273242,101.0,84.0,4.389435974861135,3.6506200186963897,,,,,146.0,103.85714285714286,4.702987041015845,3.3454712121511934
